"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2018","1,221.60","1,229.10","1,229.50","1,219.00","3.10K","-0.44%"
"Nov 09, 2018","1,227.00","1,242.40","1,242.40","1,226.50","4.69K","-1.34%"
"Nov 08, 2018","1,243.70","1,244.90","1,244.90","1,239.80","3.86K","-0.28%"
"Nov 07, 2018","1,247.20","1,243.30","1,256.60","1,243.30","0.93K","0.19%"
"Nov 06, 2018","1,244.80","1,250.50","1,255.70","1,244.60","0.82K","-0.48%"
"Nov 05, 2018","1,250.80","1,253.00","1,253.80","1,247.00","1.87K","-0.06%"
"Nov 02, 2018","1,251.60","1,252.60","1,256.10","1,250.00","0.98K","-0.43%"
"Nov 01, 2018","1,257.00","1,234.80","1,257.40","1,234.80","2.95K","1.95%"
"Oct 31, 2018","1,233.00","1,242.50","1,242.50","1,231.70","4.28K","-0.84%"
"Oct 30, 2018","1,243.50","1,250.50","1,250.50","1,241.20","1.51K","-0.18%"
"Oct 29, 2018","1,245.80","1,253.00","1,253.50","1,244.80","0.48K","-0.66%"
"Oct 26, 2018","1,254.10","1,253.20","1,264.00","1,251.20","0.61K","0.27%"
"Oct 25, 2018","1,250.70","1,257.50","1,258.80","1,250.70","0.57K","0.10%"
"Oct 24, 2018","1,249.40","1,253.30","1,255.20","1,247.70","0.16K","-0.46%"
"Oct 23, 2018","1,255.20","1,246.30","1,260.70","1,245.20","1.30K","1.00%"
"Oct 22, 2018","1,242.80","1,248.60","1,248.60","1,241.60","0.57K","-0.33%"
"Oct 19, 2018","1,246.90","1,248.40","1,251.50","1,246.30","0.22K","-0.10%"
"Oct 18, 2018","1,248.20","1,244.20","1,251.20","1,240.10","1.15K","0.24%"
"Oct 17, 2018","1,245.20","1,245.20","1,250.50","1,241.70","0.93K","-0.30%"
"Oct 16, 2018","1,248.90","1,249.00","1,252.80","1,245.00","0.51K","0.04%"
"Oct 15, 2018","1,248.40","1,238.60","1,254.80","1,238.60","0.43K","0.68%"
"Oct 12, 2018","1,240.00","1,245.10","1,245.10","1,238.70","1.04K","-0.48%"
"Oct 11, 2018","1,246.00","1,215.80","1,247.70","1,212.90","1.62K","2.86%"
"Oct 10, 2018","1,211.30","1,211.80","1,215.50","1,206.80","1.85K","0.15%"
"Oct 09, 2018","1,209.50","1,211.40","1,212.80","1,205.80","1.02K","0.24%"
"Oct 08, 2018","1,206.60","1,223.10","1,223.10","1,205.00","1.96K","-1.39%"
"Oct 05, 2018","1,223.60","1,220.30","1,227.30","1,219.70","1.64K","0.36%"
"Oct 04, 2018","1,219.20","1,219.90","1,228.10","1,218.80","0.82K","-0.10%"
"Oct 03, 2018","1,220.40","1,229.10","1,229.10","1,218.00","0.62K","-0.33%"
"Oct 02, 2018","1,224.40","1,210.50","1,229.50","1,210.50","0.81K","1.28%"
"Oct 01, 2018","1,208.90","1,212.90","1,212.90","1,205.80","1.83K","-0.35%"
"Sep 28, 2018","1,213.20","1,204.50","1,213.50","1,202.00","1.83K","0.74%"
"Sep 27, 2018","1,204.30","1,217.10","1,219.50","1,202.80","2.07K","-0.97%"
"Sep 26, 2018","1,216.10","1,222.30","1,223.70","1,212.40","0.67K","-0.52%"
"Sep 25, 2018","1,222.40","1,223.90","1,223.90","1,222.40","0.85K","0.06%"
"Sep 24, 2018","1,221.70","1,219.80","1,224.90","1,216.50","0.32K","0.25%"
"Sep 21, 2018","1,218.60","1,230.70","1,232.60","1,213.80","2.25K","-0.81%"
"Sep 20, 2018","1,228.60","1,225.70","1,230.00","1,223.50","0.76K","0.24%"
"Sep 19, 2018","1,225.70","1,225.90","1,225.90","1,223.20","0.62K","0.46%"
"Sep 18, 2018","1,220.10","1,219.60","1,223.80","1,218.20","0.39K","-0.24%"
"Sep 17, 2018","1,223.00","1,217.10","1,226.00","1,217.10","0.33K","0.38%"
"Sep 14, 2018","1,218.40","1,228.90","1,229.00","1,216.20","0.78K","-0.60%"
"Sep 13, 2018","1,225.70","1,227.20","1,235.20","1,224.60","1.23K","-0.22%"
"Sep 12, 2018","1,228.40","1,219.10","1,230.90","1,217.00","1.10K","0.73%"
"Sep 11, 2018","1,219.50","1,218.60","1,221.60","1,210.00","1.38K","0.20%"
"Sep 10, 2018","1,217.10","1,214.40","1,219.20","1,214.40","0.78K","-0.04%"
"Sep 07, 2018","1,217.60","1,222.80","1,224.20","1,217.60","0.60K","-0.31%"
"Sep 06, 2018","1,221.40","1,222.00","1,229.30","1,221.30","0.49K","0.25%"
"Sep 05, 2018","1,218.30","1,214.90","1,220.10","1,214.90","0.45K","0.21%"
"Sep 04, 2018","1,215.80","1,220.00","1,223.20","1,212.00","0.39K","0.79%"
"Sep 03, 2018","1,206.30","1,204.90","1,209.60","1,201.30","-","0.12%"
"Sep 02, 2018","1,204.90","1,206.20","1,206.60","1,204.50","-","-1.51%"
"Aug 31, 2018","1,223.40","1,222.00","1,230.00","1,221.20","0.18K","0.14%"
"Aug 30, 2018","1,221.70","1,228.50","1,228.50","1,220.00","1.63K","-0.55%"
"Aug 29, 2018","1,228.40","1,225.90","1,229.70","1,225.80","0.63K","-0.24%"
"Aug 28, 2018","1,231.40","1,234.80","1,236.60","1,230.00","1.10K","-0.14%"
"Aug 27, 2018","1,233.10","1,229.90","1,235.00","1,227.00","0.17K","0.23%"
"Aug 24, 2018","1,230.30","1,211.00","1,230.70","1,211.00","0.16K","1.61%"
"Aug 23, 2018","1,210.80","1,214.80","1,215.60","1,207.00","0.09K","-0.77%"
"Aug 22, 2018","1,220.20","1,219.10","1,224.30","1,218.50","0.41K","0.27%"
"Aug 21, 2018","1,216.90","1,218.00","1,220.50","1,212.10","0.12K","0.45%"
"Aug 20, 2018","1,211.50","1,209.60","1,213.80","1,209.60","0.19K","0.87%"
"Aug 17, 2018","1,201.10","1,199.30","1,203.10","1,199.30","0.07K","0.02%"
"Aug 16, 2018","1,200.90","1,198.50","1,205.00","1,189.30","0.90K","-0.08%"
"Aug 15, 2018","1,201.90","1,218.10","1,218.50","1,198.30","0.59K","-1.31%"
"Aug 14, 2018","1,217.80","1,219.00","1,222.00","1,218.30","0.13K","0.15%"
"Aug 13, 2018","1,216.00","1,232.70","1,232.70","1,216.70","0.42K","-1.65%"
"Aug 10, 2018","1,236.40","1,238.70","1,238.90","1,235.80","0.15K","-0.07%"
"Aug 09, 2018","1,237.30","1,238.10","1,238.10","1,238.10","0.07K","-0.08%"
"Aug 08, 2018","1,238.30","1,236.50","1,236.50","1,236.50","0.03K","0.22%"
"Aug 07, 2018","1,235.60","1,240.90","1,240.90","1,238.20","0.19K","0.04%"
"Aug 06, 2018","1,235.10","1,239.40","1,242.50","1,239.40","0.28K","-0.44%"
"Aug 03, 2018","1,240.60","1,241.70","1,242.50","1,240.00","0.06K","0.26%"
"Aug 02, 2018","1,237.40","1,243.10","1,243.10","1,234.20","0.34K","-0.62%"
"Aug 01, 2018","1,245.10","1,249.30","1,249.30","1,243.90","1.13K","-0.46%"
"Jul 31, 2018","1,250.90","1,248.20","1,250.00","1,241.60","0.10K","0.18%"
"Jul 30, 2018","1,248.70","1,246.20","1,249.50","1,246.20","0.07K","-0.11%"
"Jul 27, 2018","1,250.10","1,249.70","1,252.50","1,246.50","0.10K","-0.21%"
"Jul 26, 2018","1,252.70","1,257.50","1,257.50","1,254.70","0.31K","-0.45%"
"Jul 25, 2018","1,258.40","1,258.20","1,258.20","1,255.70","0.56K","0.50%"
"Jul 24, 2018","1,252.20","1,253.10","1,255.50","1,251.40","0.15K","0.01%"
"Jul 23, 2018","1,252.10","1,258.80","1,262.00","1,251.40","0.21K","-0.48%"
"Jul 20, 2018","1,258.10","1,251.90","1,257.50","1,251.90","0.47K","0.51%"
"Jul 19, 2018","1,251.70","1,253.50","1,256.90","1,243.30","0.70K","-0.37%"
"Jul 18, 2018","1,256.30","1,256.30","1,256.40","1,250.00","0.28K","0.04%"
"Jul 17, 2018","1,255.80","1,269.20","1,269.80","1,255.00","0.75K","-1.01%"
"Jul 16, 2018","1,268.60","1,273.40","1,273.40","1,269.60","0.14K","-0.13%"
"Jul 13, 2018","1,270.20","1,271.00","1,271.70","1,265.90","1.04K","-0.44%"
"Jul 12, 2018","1,275.80","1,271.80","1,276.30","1,271.30","0.47K","0.15%"
"Jul 11, 2018","1,273.90","1,281.50","1,282.50","1,271.30","0.30K","-0.90%"
"Jul 10, 2018","1,285.50","1,283.00","1,284.80","1,277.50","0.68K","-0.29%"
"Jul 09, 2018","1,289.30","1,286.20","1,295.50","1,286.20","0.39K","0.31%"
"Jul 06, 2018","1,285.30","1,285.00","1,285.90","1,285.00","0.13K","-0.22%"
"Jul 05, 2018","1,288.10","1,287.70","1,287.90","1,285.10","0.33K","2.38%"
"Jul 04, 2018","1,258.10","1,256.20","1,262.40","1,255.30","-","-1.94%"
"Jul 03, 2018","1,283.00","1,280.30","1,283.10","1,280.30","0.69K","0.95%"
"Jul 02, 2018","1,270.90","1,279.80","1,279.80","1,270.00","0.24K","-1.07%"
"Jun 29, 2018","1,284.60","1,282.30","1,286.10","1,282.10","0.11K","0.28%"
"Jun 28, 2018","1,281.00","1,281.60","1,281.60","1,277.50","0.24K","-0.43%"
"Jun 27, 2018","1,286.50","1,286.50","1,286.50","1,286.50","0.08K","-0.30%"
"Jun 26, 2018","1,290.40","1,290.50","1,292.30","1,289.10","0.05K","-0.71%"
"Jun 25, 2018","1,299.60","1,302.90","1,302.90","1,302.90","0.02K","-0.14%"
"Jun 22, 2018","1,301.40","1,300.30","1,300.30","1,299.60","0.02K","0.02%"
"Jun 21, 2018","1,301.10","1,297.90","1,300.40","1,297.90","0.05K","-0.34%"
"Jun 20, 2018","1,305.50","1,308.70","1,308.70","1,305.30","0.33K","-0.32%"
"Jun 19, 2018","1,309.70","1,312.70","1,317.20","1,306.80","0.41K","-0.13%"
"Jun 18, 2018","1,311.40","1,312.20","1,312.20","1,311.00","0.31K","0.13%"
"Jun 15, 2018","1,309.70","1,335.90","1,337.50","1,309.50","0.61K","-2.28%"
"Jun 14, 2018","1,340.30","1,340.90","1,340.90","1,338.30","0.07K","0.53%"
